VARIABLE AA;LIBELLE ACTUEL;NOUVEAU LIBELLE;NOM TECHNIQUE;
prop16;Espace;Section du site - Niveau 1 (prop16);pages.espace;
prop9;Sous-espace (prop9);Section du site - Niveau 2 (prop9);pages.univers;
prop20;Fonctionnalité;Section du site - Niveau 3 (prop20);pages.fonctionnalite;
prop10;Sous-fonctionnalité (prop10);Section du site - Niveau 4 (prop10);pages.pageType;
evar50;Page (evar50);Nom de la page (evar50);pages.pageName;
prop6;Type Applicatif (prop6);Application ou Site (prop6);pages.applicationType;
prop70;Webview identification (prop70);Navigateur ou webview (prop70);ex_browser;
prop21;Nom du site et de l'application (prop21);Nom du site ou de l'application (prop21);pages.siteName;
prop7;Brique technique (prop7);Brique technique - Niveau 1 (prop7);pages.applicationName;
prop3;Sous brique technique (prop3);Brique technique - Niveau 2 (prop3);pages.applicationSubName;
prop13;Url de la page (prop13);;;
prop24;Mobile Service Type (Google/Huawei);Type d'Android (Google / Huawei) (prop24);pages.pageNameBeforeHDL;A mettre dans les variable de classif
evar139;app build (evar139);Application mobile : VERSION - BUILD (evar139);custom.profilUtilisateur;A mettre dans les variable de classif
prop35;Pagename avant retraitement HDL;Pagename avant retraitement Hosted Datalayer (prop35);;
prop54;Timestamp;Timestamp (prop54);;
prop73;Profil Tealium (prop73);Profil Tealium (prop73);custom.app_build;
evar122;Nom de l'application;Nom technique de l'application (evar122);custom.app_rdns;
prop5;Code réduit Etablissement de la page (prop5);Code Etablissement de la page (prop5);pages.CodeEnttGrpe;
prop5.libelle-code-etablissement-pag;Code réduit Etablissement de la page (prop5);Code et libellé Etablissement de la page (prop5);pages.CodeEnttGrpe;"Je ne trouve pas cette classif dans AA.
Le descriptif des valeurs est idem que celui de la variable. 
CG : classification coté BP mais pas coté CE…"
prop8;Marché de navigation (prop8);Marché de la page (prop8);pages.marche;
evar2;Id client (evar2);Id client (evar2);"clients.id (web)
clientid (app)";
prop2;Id Client (prop2);Id Client (prop2);"clients.id (web)
clientid (app)";
evar100;CRMID (evar100);;;
evar129;ID client personne physique connectée;ID Personne (evar129);visitor_context.codep;
